Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 10.14      8.78     8.78 2633227971     0.00     0.00  void std::_Construct<std::string, std::string>(std::string*, std::string const&)
  8.35     16.02     7.24 5282247508     0.00     0.00  std::string* std::__addressof<std::string>(std::string&)
  6.66     21.78     5.77 1880803235     0.00     0.00  bool __gnu_cxx::operator!=<std::string const*, std::vector<std::string, std::allocator<std::string> > >(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > > const&, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > > const&)
  5.73     26.74     4.96 36640747     0.00     0.00  std::string* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, std::string*>(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, std::string*)
  5.42     31.44     4.70 3761606470     0.00     0.00  __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::base() const
  5.21     35.95     4.51 2649019537     0.00     0.00  void std::_Destroy<std::string>(std::string*)
  4.57     39.90     3.96 52432314     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::string*>(std::string*, std::string*)
  4.40     43.72     3.82 1844162488     0.00     0.00  __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::operator*() const
  3.95     47.14     3.43 1844162488     0.00     0.00  __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::operator++()
  3.64     50.29     3.15 789067619     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  3.57     53.38     3.09 2649114528     0.00     0.00  operator new(unsigned long, void*)
  3.03     56.00     2.62        1     2.62    83.82  sum_path(BLG::BLGraph, BLG::blnode_T*, std::vector<std::string, std::allocator<std::string> >, int, int)
  2.93     58.54     2.54 789065483     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::operator++()
  1.99     60.26     1.72 789065483     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::operator*() const
  1.78     61.80     1.54 15791566     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > std::__find<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, std::string>(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, std::string const&, std::random_access_iterator_tag)
  1.43     63.04     1.24 31583132     0.00     0.00  std::string* std::__uninitialized_copy<false>::__uninit_copy<std::string*, std::string*>(std::string*, std::string*, std::string*)
  0.98     63.89     0.85 20849181     0.00     0.00  BLG::bledge_T** std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<BLG::bledge_T* const*, std::vector<BLG::bledge_T*, std::allocator<BLG::bledge_T*> > >, BLG::bledge_T**>(__gnu_cxx::__normal_iterator<BLG::bledge_T* const*, std::vector<BLG::bledge_T*, std::allocator<BLG::bledge_T*> > >, __gnu_cxx::__normal_iterator<BLG::bledge_T* const*, std::vector<BLG::bledge_T*, std::allocator<BLG::bledge_T*> > >, BLG::bledge_T**)
  0.81     64.59     0.71 15791566     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::_M_insert_aux(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, std::string const&)
  0.69     65.19     0.60 51836177     0.00     0.00  std::vector<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> >::end()
  0.59     65.70     0.52        1     0.52     0.52  __gnu_cxx::new_allocator<std::string>::new_allocator()
  0.51     66.14     0.44                             __gnu_cxx::__alloc_traits<std::allocator<std::string> >::destroy(std::allocator<std::string>&, std::string*)
  0.51     66.58     0.44 36640747     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_create_storage(unsigned long)
  0.46     66.98     0.40 36640747     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::vector(std::vector<std::string, std::allocator<std::string> > const&)
  0.45     67.37     0.39                             frame_dummy
  0.42     67.73     0.36                             SimulinkModel::XSD::block_T::name()
  0.40     68.08     0.35 52075097     0.00     0.00  std::vector<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> >::size() const
  0.40     68.42     0.35 20849181     0.00     0.00  std::_Vector_base<BLG::bledge_T*, std::allocator<BLG::bledge_T*> >::_M_create_storage(unsigned long)
  0.35     68.72     0.30 25906800     0.00     0.00  xsd::cxx::tree::sequence_common::operator=(xsd::cxx::tree::sequence_common const&)
  0.33     69.01     0.29 20849181     0.00     0.00  std::vector<BLG::bledge_T*, std::allocator<BLG::bledge_T*> >::vector(std::vector<BLG::bledge_T*, std::allocator<BLG::bledge_T*> > const&)
  0.32     69.29     0.28 36640747     0.00     0.00  __gnu_cxx::new_allocator<std::string>::new_allocator(__gnu_cxx::new_allocator<std::string> const&)
  0.31     69.56     0.27      920     0.00     0.00  std::vector<SimulinkModel::XSD::var_T const*, std::allocator<SimulinkModel::XSD::var_T const*> >::~vector()
  0.31     69.83     0.27 20849181     0.00     0.00  std::vector<BLG::bledge_T*, std::allocator<BLG::bledge_T*> >::begin() const
  0.30     70.09     0.26 52432314     0.00     0.00  void std::_Destroy<std::string*>(std::string*, std::string*)
  0.29     70.34     0.26 36640748     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::~vector()
  0.29     70.59     0.25 31583132     0.00     0.00  std::string* std::__uninitialized_move_if_noexcept_a<std::string*, std::string*, std::allocator<std::string> >(std::string*, std::string*, std::string*, std::allocator<std::string>&)
